index,stamp_ns
204,1671607382599967003
205,1671607382699810028
206,1671607382799909830
207,1671607382899990082
208,1671607383000056028
209,1671607383099922895
210,1671607383199895144
211,1671607383299982071
212,1671607383399821043
213,1671607383499917984
214,1671607383599895000
215,1671607383699976921
216,1671607383799803972
217,1671607383899893999
218,1671607384000087976
219,1671607384099946022
220,1671607384199896097
221,1671607384299978018
222,1671607384399833202
223,1671607384499927998
224,1671607384599884987
225,1671607384699968100
226,1671607384799814939
227,1671607384899914026
228,1671607385000122070
229,1671607385099977970
230,1671607385199813128
231,1671607385299897194
232,1671607385399994135
233,1671607385499850035
234,1671607385599947929
235,1671607385699784040
236,1671607385799989939
237,1671607385899832010
238,1671607386000035048
239,1671607386099895954
240,1671607386199990988
241,1671607386299824953
242,1671607386399918079
243,1671607386499881983
244,1671607386599994183
245,1671607386699845791
246,1671607386799937010
247,1671607386899776936
248,1671607387000101805
249,1671607387099951029
250,1671607387199802876
251,1671607387299894094
252,1671607387399988890
253,1671607387499834776
254,1671607387599922895
255,1671607387699882030
256,1671607387799983025
257,1671607387899831057
258,1671607388000038862
259,1671607388099890947
260,1671607388199982166
261,1671607388299823046
262,1671607388399908066
263,1671607388499881029
264,1671607388599973202
265,1671607388699805021
266,1671607388799896002
267,1671607388899981976
268,1671607389000056028
269,1671607389099919796
270,1671607389199996948
271,1671607389299844027
272,1671607389399941206
273,1671607389499897003
274,1671607389599985838
275,1671607389699826002
276,1671607389799932003
277,1671607389899898052
278,1671607390000101805
279,1671607390099961996
280,1671607390199795008
281,1671607390299882889
282,1671607390399963856
283,1671607390499802828
284,1671607390599880934
285,1671607390699969053
286,1671607390799813986
287,1671607390899897099
288,1671607391000108957
289,1671607391099960089
290,1671607391199795008
291,1671607391299992085
292,1671607391399832010
293,1671607391499912024
294,1671607391599995852
295,1671607391699852943
296,1671607391799951792
297,1671607391899785995
298,1671607392000121117
299,1671607392099977016
300,1671607392199796915
301,1671607392299877882
302,1671607392399986029
303,1671607392499822140
304,1671607392599915028
305,1671607392699876070
306,1671607392799971104
307,1671607392899824142
308,1671607393000027895
309,1671607393099887133
310,1671607393199984789
311,1671607393299809933
312,1671607393399899960
313,1671607393499875069
314,1671607393599980116
315,1671607393699819088
316,1671607393799904108
317,1671607393899876118
318,1671607394000084877
319,1671607394099946976
320,1671607394199781179
321,1671607394299995899
322,1671607394399845123
323,1671607394499922991
324,1671607394599884033
325,1671607394699984789
326,1671607394799818039
327,1671607394899914980
328,1671607395000123978
329,1671607395099975824
330,1671607395199807882
331,1671607395299892902
332,1671607395399980068
333,1671607395499825001
334,1671607395599917173
335,1671607395699888229
336,1671607395799968004
337,1671607395899802208
338,1671607396000006914
339,1671607396099995852
340,1671607396199831009
341,1671607396299929142
342,1671607396399887800
343,1671607396499983788
344,1671607396599822998
345,1671607396699909210
346,1671607396799880981
347,1671607396899971008
348,1671607397000049829
349,1671607397099898815
350,1671607397199980974
351,1671607397299813986
352,1671607397399913073
353,1671607397499882936
354,1671607397599966049
355,1671607397699820042
356,1671607397799916029
357,1671607397899883032
358,1671607398000087976
359,1671607398099936008
360,1671607398199781895
361,1671607398299875021
362,1671607398399976015
363,1671607398499788046
364,1671607398599997997
365,1671607398699827909
366,1671607398799908161
367,1671607398899991035
368,1671607399000066996
369,1671607399099915981
370,1671607399199875116
371,1671607399299968958
372,1671607399399818897
373,1671607399499896049
374,1671607399599990129
375,1671607399699820995
376,1671607399799916983
377,1671607399899875164
378,1671607400000094891
379,1671607400099930048
380,1671607400199892998
381,1671607400299982071
382,1671607400399816990
383,1671607400499909878
384,1671607400599995852
385,1671607400699845791
386,1671607400799934864
387,1671607400899896145
388,1671607401000093937
389,1671607401099936962
390,1671607401199877977
391,1671607401299968004
392,1671607401399806023
393,1671607401499903917
394,1671607401599881887
395,1671607401699975014
396,1671607401799813032
397,1671607401899904013
398,1671607402000112057
399,1671607402099963903
400,1671607402199805975
401,1671607402299905062
402,1671607402399877787
403,1671607402499955893
404,1671607402599783897
405,1671607402699997902
406,1671607402799825907
407,1671607402899915934
408,1671607403000122786
409,1671607403099984884
410,1671607403199819088
411,1671607403299902916
412,1671607403399877071
413,1671607403499962091
414,1671607403599807024
415,1671607403699902058
416,1671607403799984217
417,1671607403899814844
418,1671607404000026941
419,1671607404099877119
420,1671607404199954033
421,1671607404299798012
422,1671607404399889946
423,1671607404499978065
424,1671607404599831104
425,1671607404699930906
426,1671607404799891949
427,1671607404899986982
428,1671607405000086069
429,1671607405099936962
430,1671607405199898958
431,1671607405299998045
432,1671607405399842978
433,1671607405499933004
434,1671607405599898100
435,1671607405699987888
436,1671607405799805880
437,1671607405899893999
438,1671607406000077963
439,1671607406099943876
440,1671607406199798107
441,1671607406299892902
442,1671607406399986982
443,1671607406499822140
444,1671607406599926949
445,1671607406699779034
446,1671607406799877882
447,1671607406899969101
448,1671607407000042915
449,1671607407099908113
450,1671607407199983120
451,1671607407299819946
452,1671607407399918079
453,1671607407499888897
454,1671607407599972010
455,1671607407699810028
456,1671607407799898863
457,1671607407899996996
458,1671607408000086069
459,1671607408099943876
460,1671607408199882030
461,1671607408299978018
462,1671607408399817944
463,1671607408499902010
464,1671607408599992037
465,1671607408699830055
466,1671607408799916983
467,1671607408899893045
468,1671607409000080824
469,1671607409099925995
470,1671607409199781179
471,1671607409299877882
472,1671607409399969101
473,1671607409499816895
474,1671607409599918127
475,1671607409699875116
476,1671607409799963951
477,1671607409899807930
478,1671607409999893904
479,1671607410099886179
480,1671607410199975014
481,1671607410299816847
482,1671607410399896145
483,1671607410499990940
484,1671607410599823952
485,1671607410699919939
486,1671607410799880028
487,1671607410899970055
488,1671607411000042915
489,1671607411099895954
490,1671607411199994087
491,1671607411299831152
492,1671607411399936914
493,1671607411499787092
494,1671607411599879980
495,1671607411699973106
496,1671607411799798965
497,1671607411899898052
498,1671607412000114918
499,1671607412099943876
500,1671607412199778080
501,1671607412299986839
502,1671607412399820089
503,1671607412499899864
504,1671607412599981070
505,1671607412699827909
506,1671607412799922943
507,1671607412899996996
508,1671607412999845982
509,1671607413099947929
510,1671607413199795008
511,1671607413299884081
512,1671607413399972200
513,1671607413499802113
514,1671607413599887133
515,1671607413699982166
516,1671607413799819946
517,1671607413899896145
518,1671607414000092983
519,1671607414099942923
520,1671607414199796915
521,1671607414299880981
522,1671607414399970055
523,1671607414499809980
524,1671607414599900961
525,1671607414699993134
526,1671607414799831152
527,1671607414899920940
528,1671607415000005007
529,1671607415099978924
530,1671607415199820995
531,1671607415299896002
532,1671607415399976969
533,1671607415499825001
534,1671607415599901915
535,1671607415699879885
536,1671607415799950123
537,1671607415899790049
538,1671607416000118017
539,1671607416099967003
540,1671607416199813128
541,1671607416299892902
542,1671607416399988890
543,1671607416499845028
544,1671607416599936962
545,1671607416699889898
546,1671607416799983025
547,1671607416899816990
548,1671607417000025034
549,1671607417099883080
550,1671607417199966908
551,1671607417299802065
552,1671607417399889946
553,1671607417499993086
554,1671607417599831104
555,1671607417699909210
556,1671607417799878836
557,1671607417899971008
558,1671607418000072002
559,1671607418099919796
560,1671607418199877024
561,1671607418299973965
562,1671607418399831057
563,1671607418499920845
564,1671607418599891901
565,1671607418699982166
566,1671607418799816847
567,1671607418899935007
568,1671607419000006914
569,1671607419099995852
570,1671607419199836969
571,1671607419299911022
572,1671607419399878979
573,1671607419499959946
574,1671607419599802017
575,1671607419699892044
576,1671607419799986839
577,1671607419899834156
578,1671607420000037193
579,1671607420099901915
580,1671607420199994087
581,1671607420299845934
582,1671607420399935007
583,1671607420499775887
584,1671607420599994183
585,1671607420699843168
586,1671607420799923897
587,1671607420899888992
588,1671607421000091791
589,1671607421099951029
590,1671607421199790001
591,1671607421299881935
592,1671607421399972200
593,1671607421499805927
594,1671607421599887848
595,1671607421699965954
596,1671607421799800158
597,1671607421899888992
598,1671607422000104904
599,1671607422099936008
600,1671607422199774981
601,1671607422299995899
602,1671607422399820089
603,1671607422499899864
604,1671607422599980116
605,1671607422699815989
606,1671607422799902916
607,1671607422899877787
608,1671607422999963999
609,1671607423099939108
610,1671607423199781895
611,1671607423299988031
612,1671607423399845839
613,1671607423499930859
614,1671607423599891901
615,1671607423699986935
616,1671607423799818993
617,1671607423899911880
618,1671607424000113964
619,1671607424099971056
620,1671607424199819088
621,1671607424299913883
622,1671607424399998903
623,1671607424499853134
624,1671607424599939108
625,1671607424699779987
626,1671607424799880028
627,1671607424899972200
628,1671607425000054121
629,1671607425099909067
630,1671607425199993134
631,1671607425299825907
632,1671607425399919033
633,1671607425499888897
634,1671607425599984884
635,1671607425699824810
636,1671607425799909115
637,1671607425899986982
638,1671607426000069141
639,1671607426099917173
640,1671607426199883938
641,1671607426299994946
642,1671607426399825811
643,1671607426499917984
644,1671607426599895954
645,1671607426699985981
646,1671607426799832106
647,1671607426899924040
648,1671607427000010014
649,1671607427099992037
650,1671607427199838877
651,1671607427299922943
652,1671607427399877071
653,1671607427499952078
654,1671607427599776030
655,1671607427699990034
656,1671607427799823761
657,1671607427899914980
658,1671607428000122786
659,1671607428099968910
660,1671607428199819088
661,1671607428299918175
662,1671607428399887800
663,1671607428499978065
664,1671607428599820137
665,1671607428699904919
666,1671607428799994946
667,1671607428899831057
668,1671607429000054121
669,1671607429099897146
670,1671607429199997902
671,1671607429299849987
672,1671607429399935961
673,1671607429499885082
674,1671607429599984884
675,1671607429699817896
676,1671607429799909115
677,1671607429899875164
678,1671607430000077009
679,1671607430099928141
680,1671607430199885130
681,1671607430299986839
682,1671607430399834871
683,1671607430499922991
684,1671607430599884987
685,1671607430699980021
686,1671607430799795866
687,1671607430899880886
688,1671607431000094891
689,1671607431099959135
690,1671607431199803829
691,1671607431299889803
692,1671607431399973869
693,1671607431499808073
694,1671607431599884033
695,1671607431699980021
696,1671607431799821138
697,1671607431899904966
698,1671607432000101089
699,1671607432099956036
700,1671607432199807882
701,1671607432299884081
702,1671607432399969101
703,1671607432499804020
704,1671607432599900007
705,1671607432699989080
706,1671607432799809933
707,1671607432899894953
708,1671607433000113010
709,1671607433099971056
710,1671607433199822187
711,1671607433299911976
712,1671607433399893045
713,1671607433499973774
714,1671607433599817038
715,1671607433699904919
716,1671607433799998045
717,1671607433899847984
718,1671607434000036001
719,1671607434099907160
720,1671607434199994802
721,1671607434299844027
722,1671607434399935007
723,1671607434499898195
724,1671607434599975824
725,1671607434699824095
726,1671607434799916029
727,1671607434899994850
728,1671607435000073910
729,1671607435099926949
730,1671607435199887991
731,1671607435299984932
732,1671607435399817944
733,1671607435499912977
734,1671607435599879026
735,1671607435699969053
736,1671607435799801111
737,1671607435899904966
738,1671607436000112057
739,1671607436099972010
740,1671607436199802160
741,1671607436299897194
742,1671607436399973869
743,1671607436499792814
744,1671607436599879026
745,1671607436699962139
746,1671607436799811125
747,1671607436899884939
748,1671607437000100136
749,1671607437099941015
750,1671607437199775934
751,1671607437299992085
752,1671607437399821997
753,1671607437499909163
754,1671607437599992990
755,1671607437699826956
756,1671607437799906015
757,1671607437899878979
758,1671607437999971151
759,1671607438099957943
760,1671607438199802876
761,1671607438299885035
762,1671607438399966002
763,1671607438499797106
764,1671607438599879980
765,1671607438699963808
766,1671607438799815893
767,1671607438899894953
768,1671607439000108004
769,1671607439099960089
770,1671607439199798107
771,1671607439299887180
772,1671607439399966955
773,1671607439499818087
774,1671607439599920988
775,1671607439699895144
776,1671607439799982071
777,1671607439899824858
778,1671607440000026226
779,1671607440099884033
780,1671607440199970961
781,1671607440299815893
782,1671607440399913073
783,1671607440499881983
784,1671607440599967003
785,1671607440699796915
786,1671607440799880028
787,1671607440899973154
788,1671607441000048161
789,1671607441099891901
790,1671607441199968100
791,1671607441299813986
792,1671607441399901867
793,1671607441499999046
794,1671607441599835873
795,1671607441699937105
796,1671607441799894094
797,1671607441899969101
798,1671607442000048876
799,1671607442099908113
800,1671607442199994802
801,1671607442299838066
802,1671607442399939060
803,1671607442499787092
804,1671607442599994898
805,1671607442699836016
806,1671607442799926996
807,1671607442899893999
808,1671607443000089169
809,1671607443099945068
810,1671607443199781895
811,1671607443299994946
812,1671607443399849892
813,1671607443499930143
814,1671607443599879026
815,1671607443699959040
816,1671607443799814939
817,1671607443899893999
818,1671607444000100136
819,1671607444099952221
820,1671607444199800014
821,1671607444299888849
822,1671607444399970055
823,1671607444499812126
824,1671607444599909067
825,1671607444699985981
826,1671607444799832106
827,1671607444899927139
828,1671607445000010014
829,1671607445099990129
830,1671607445199805975
831,1671607445299880028
832,1671607445399963856
833,1671607445499794006
834,1671607445599988937
835,1671607445699826956
836,1671607445799912930
837,1671607445899880886
838,1671607446000086069
839,1671607446099945068
840,1671607446199785948
841,1671607446299994946
842,1671607446399837971
843,1671607446499920845
844,1671607446599889994
845,1671607446699977875
846,1671607446799813032
847,1671607446899899960
848,1671607447000113964
849,1671607447099950075
850,1671607447199779034
851,1671607447299993038
852,1671607447399849892
853,1671607447499924898
854,1671607447599886179
855,1671607447699983835
856,1671607447799818039
857,1671607447899914026
858,1671607448000108957
859,1671607448099970102
860,1671607448199817896
861,1671607448299908161
862,1671607448399884939
863,1671607448499969006
864,1671607448599815845
865,1671607448699898958
866,1671607448799998999
867,1671607448899837971
868,1671607449000048161
869,1671607449099907160
870,1671607449199876070
871,1671607449299957037
872,1671607449399793863
873,1671607449499881983
874,1671607449599973202
875,1671607449699809074
876,1671607449799905062
877,1671607449899977922
878,1671607450000066042
879,1671607450099914074
880,1671607450199892044
881,1671607450299977064
882,1671607450399806023
883,1671607450499999046
884,1671607450599850893
885,1671607450699944973
886,1671607450799777031
887,1671607450899963856
888,1671607451000041962
889,1671607451099898100
890,1671607451199999094
891,1671607451299849033
892,1671607451399928093
893,1671607451499893904
894,1671607451599988937
895,1671607451699813128
896,1671607451799919128
897,1671607451899996996
898,1671607452000068188
899,1671607452099938154
900,1671607452199898005
901,1671607452299981117
902,1671607452399823904
903,1671607452499912024
904,1671607452599997044
905,1671607452699843168
906,1671607452799927950
907,1671607452899893999
908,1671607453000122070
909,1671607453099987984
910,1671607453199826956
911,1671607453299911022
912,1671607453399886131
913,1671607453499992132
914,1671607453599843025
915,1671607453699937105
916,1671607453799781084
917,1671607453899996996
918,1671607454000069857
919,1671607454099920988
920,1671607454199889898
921,1671607454299973965
922,1671607454399823904
923,1671607454499909163
924,1671607454599883080
925,1671607454699965954
926,1671607454799808979
927,1671607454899900913
928,1671607455000104904
929,1671607455099959135
930,1671607455199790001
931,1671607455299877882
932,1671607455399974823
933,1671607455499819040
934,1671607455599905014
935,1671607455699994802
936,1671607455799852133
937,1671607455899938107
938,1671607456000014067
939,1671607456099862099
940,1671607456199952841
941,1671607456299790144
942,1671607456399879932
943,1671607456499978065
944,1671607456599828959
945,1671607456699930191
946,1671607456799894094
947,1671607456899981976
948,1671607456999825954
949,1671607457099938154
950,1671607457199777126
951,1671607457299878836
952,1671607457399979115
953,1671607457499819994
954,1671607457599909782
955,1671607457699876070
956,1671607457799965858
957,1671607457899816990
958,1671607458000030994
959,1671607458099895954
960,1671607458199989080
961,1671607458299804926
962,1671607458399877071
963,1671607458499973059
964,1671607458599823952
965,1671607458699909210
966,1671607458799995899
967,1671607458899834871
968,1671607459000047207
969,1671607459099908113
970,1671607459199876070
971,1671607459299957991
972,1671607459399820089
973,1671607459499898911
974,1671607459599975824
975,1671607459699801207
976,1671607459799905062
977,1671607459899998903
978,1671607460000104904
979,1671607460099962950
980,1671607460199798107
981,1671607460299877882
982,1671607460399970055
983,1671607460499811172
984,1671607460599902868
985,1671607460699989080
986,1671607460799844027
987,1671607460899943829
988,1671607461000026941
989,1671607461099891901
990,1671607461199995995
991,1671607461299836874
992,1671607461399924994
993,1671607461499876022
994,1671607461599968910
995,1671607461699809074
996,1671607461799890995
997,1671607461899981976
998,1671607462000048161
999,1671607462099895954
1000,1671607462199983120
1001,1671607462299819946
1002,1671607462399919033
1003,1671607462499898195
1004,1671607462599988937
1005,1671607462699826002
1006,1671607462799921989
1007,1671607462899891853
1008,1671607463000099182
1009,1671607463099940062
1010,1671607463199782848
1011,1671607463299882889
1012,1671607463399980068
1013,1671607463499809027
1014,1671607463599897146
1015,1671607463699989080
1016,1671607463799808979
1017,1671607463899903059
1018,1671607464000113964
1019,1671607464099959135
1020,1671607464199799061
1021,1671607464299876213
1022,1671607464399963856
1023,1671607464499804974
1024,1671607464599884987
1025,1671607464699968100
1026,1671607464799812078
1027,1671607464899898052
1028,1671607465000107050
1029,1671607465099987984
1030,1671607465199824810
1031,1671607465299915075
1032,1671607465399887085
1033,1671607465499972105
1034,1671607465599803925
1035,1671607465699882030
1036,1671607465799968958
1037,1671607465899811983
1038,1671607466000041008
1039,1671607466099900961
1040,1671607466199877024
1041,1671607466299971104
1042,1671607466399796963
1043,1671607466499886990
1044,1671607466599977970
1045,1671607466699803829
1046,1671607466799894094
1047,1671607466899959087
1048,1671607467000036001
1049,1671607467099895000
1050,1671607467199995995
1051,1671607467299836874
1052,1671607467399920225
1053,1671607467499881983
1054,1671607467599961996
1055,1671607467699812174
1056,1671607467799902916
1057,1671607467899981976
1058,1671607468000062943
1059,1671607468099918127
1060,1671607468199996948
1061,1671607468299838066
1062,1671607468399918079
1063,1671607468499992132
1064,1671607468599821091
1065,1671607468699923992
1066,1671607468799894094
1067,1671607468899972200
1068,1671607468999811172
1069,1671607469099926949
1070,1671607469199893951
1071,1671607469299982071
1072,1671607469399823189
1073,1671607469499917984
1074,1671607469599886179
1075,1671607469699966908
1076,1671607469799808979
1077,1671607469899901867
1078,1671607469999984980
1079,1671607470099964857
1080,1671607470199792862
1081,1671607470299878836
1082,1671607470399959087
1083,1671607470499798059
1084,1671607470599905014
1085,1671607470699875116
1086,1671607470799944878
1087,1671607470899778128
1088,1671607471000113010
1089,1671607471099956989
1090,1671607471199801207
1091,1671607471299891949
1092,1671607471399974823
1093,1671607471499811172
1094,1671607471599900961
1095,1671607471700000048
1096,1671607471799825907
1097,1671607471899915934
1098,1671607472000006914
1099,1671607472099992037
1100,1671607472199822187
1101,1671607472299911976
1102,1671607472399878979
1103,1671607472499962091
1104,1671607472599781990
1105,1671607472699990034
1106,1671607472799823761
1107,1671607472899921894
1108,1671607473000020027
1109,1671607473099992037
1110,1671607473199836016
1111,1671607473299937963
1112,1671607473399799109
1113,1671607473499898911
1114,1671607473599998951
1115,1671607473699836969
1116,1671607473799920797
1117,1671607473899897099
1118,1671607474000106096
1119,1671607474099943876
1120,1671607474199791193
1121,1671607474299877882
1122,1671607474399973869
1123,1671607474499814987
1124,1671607474599923849
1125,1671607474699892044
1126,1671607474799986839
1127,1671607474899827003
1128,1671607475000033140
1129,1671607475099900961
1130,1671607475199990034
1131,1671607475299823046
1132,1671607475399907112
1133,1671607475499978065
1134,1671607475599823952
1135,1671607475699916124
1136,1671607475799884081
1137,1671607475899983883
1138,1671607476000069857
1139,1671607476099918127
1140,1671607476199887991
1141,1671607476299968958
1142,1671607476399807930
1143,1671607476499891996
1144,1671607476599987984
1145,1671607476699824095
1146,1671607476799921989
1147,1671607476899891853
1148,1671607477000097036
1149,1671607477099946022
1150,1671607477199795008
1151,1671607477299878836
1152,1671607477399980068
1153,1671607477499834776
1154,1671607477599941015
1155,1671607477699791908
1156,1671607477799880028
1157,1671607477899973154
1158,1671607478000048161
1159,1671607478099891901
1160,1671607478199992180
1161,1671607478299835920
1162,1671607478399920225
1163,1671607478499881029
1164,1671607478599959135
1165,1671607478699805021
1166,1671607478799901009
1167,1671607478899994850
1168,1671607479000073910
1169,1671607479099925041
1170,1671607479199882030
1171,1671607479299967051
1172,1671607479399796963
1173,1671607479499886990
1174,1671607479599973202
1175,1671607479699805021
1176,1671607479799899817
1177,1671607479899979115
1178,1671607480000055075
1179,1671607480099901915
1180,1671607480199990988
1181,1671607480299843073
1182,1671607480399922848
1183,1671607480499891996
1184,1671607480599977016
1185,1671607480699805021
1186,1671607480799875021
1187,1671607480899973869
1188,1671607481000066042
1189,1671607481099928141
1190,1671607481199881077
1191,1671607481299968958
1192,1671607481399817944
1193,1671607481499897003
1194,1671607481599994898
1195,1671607481699837923
1196,1671607481799925089
1197,1671607481899891853
1198,1671607482000107050
1199,1671607482099954844
1200,1671607482199784994
1201,1671607482299888849
1202,1671607482399993181
1203,1671607482499830008
1204,1671607482599929094
1205,1671607482699779987
1206,1671607482799975872
1207,1671607482899820089
1208,1671607483000026226
1209,1671607483099877119
1210,1671607483199962854
1211,1671607483299804926
1212,1671607483399899960
1213,1671607483499983788
1214,1671607483599829912
1215,1671607483699935913
1216,1671607483799776077
1217,1671607483899981022
1218,1671607484000075102
1219,1671607484099941969
1220,1671607484199785948
1221,1671607484299877167
1222,1671607484399958134
1223,1671607484499784946
1224,1671607484599987030
1225,1671607484699829102
1226,1671607484799918175
1227,1671607484899889946
1228,1671607485000097990
1229,1671607485099943876
1230,1671607485199790001
1231,1671607485299882889
1232,1671607485399976015
1233,1671607485499814987
1234,1671607485599910975
1235,1671607485699879885
1236,1671607485799952984
1237,1671607485899789095
1238,1671607486000003099
1239,1671607486099970102
1240,1671607486199800014
1241,1671607486299904108
1242,1671607486399973869
1243,1671607486499823093
1244,1671607486599920988
1245,1671607486699999094
1246,1671607486799834013
1247,1671607486899936914
1248,1671607487000020981
1249,1671607487099891901
1250,1671607487199972153
1251,1671607487299818993
1252,1671607487399904966
1253,1671607487499881029
1254,1671607487599967003
1255,1671607487699796915
1256,1671607487799887896
1257,1671607487899983883
1258,1671607488000055075
1259,1671607488099911928
1260,1671607488199887991
1261,1671607488299974918
1262,1671607488399817944
1263,1671607488499926090
1264,1671607488599898100
1265,1671607488699975014
1266,1671607488799816847
1267,1671607488899914980
1268,1671607489000118017
1269,1671607489099968910
1270,1671607489199800014
1271,1671607489299888849
1272,1671607489399981022
1273,1671607489499826908
1274,1671607489599917173
1275,1671607489699888229
1276,1671607489799981117
1277,1671607489899823189
1278,1671607490000025034
1279,1671607490099888802
1280,1671607490199973822
1281,1671607490299812078
1282,1671607490399906158
1283,1671607490499878883
1284,1671607490599961042
1285,1671607490699800014
1286,1671607490799905062
1287,1671607490899996996
1288,1671607491000072956
1289,1671607491099936962
1290,1671607491199887991
1291,1671607491299984932
1292,1671607491399821043
1293,1671607491499908209
1294,1671607491599991083
1295,1671607491699837923
1296,1671607491799919128
1297,1671607491899997950
1298,1671607492000080824
1299,1671607492099941969
1300,1671607492199892044
1301,1671607492299968004
1302,1671607492399795055
1303,1671607492499889851
1304,1671607492599974871
1305,1671607492699798107
1306,1671607492799887180
1307,1671607492899973154
1308,1671607493000046015
1309,1671607493099889994
1310,1671607493199965000
1311,1671607493299794912
1312,1671607493399887800
1313,1671607493499983072
1314,1671607493599810123
1315,1671607493699896097
1316,1671607493799979925
1317,1671607493899813175
1318,1671607494000023127
1319,1671607494099876165
1320,1671607494199945927
1321,1671607494299797058
1322,1671607494399877787
1323,1671607494499955893
1324,1671607494599789143
1325,1671607494699879885
1326,1671607494799977064
1327,1671607494899821043
1328,1671607495000037193
1329,1671607495099884033
1330,1671607495199973106
1331,1671607495299804926
1332,1671607495399904966
1333,1671607495499979019
1334,1671607495599829912
1335,1671607495699919939
1336,1671607495799891949
1337,1671607495899980068
1338,1671607496000055075
1339,1671607496099919081
1340,1671607496199993134
1341,1671607496299826860
1342,1671607496399914980
1343,1671607496499895096
1344,1671607496599977016
1345,1671607496699826002
1346,1671607496799920797
1347,1671607496899886131
1348,1671607497000097990
1349,1671607497099938154
1350,1671607497199777126
1351,1671607497299981117
1352,1671607497399823189
1353,1671607497499919176
1354,1671607497599994898
1355,1671607497699845791
1356,1671607497799937010
1357,1671607497899775982
1358,1671607498000097990
1359,1671607498099945068
1360,1671607498199785948
1361,1671607498299983025
